C05D2.5	AT Hook x2
C18G1.2	ZF - GATA
C26C6.1	"ZF - C2H2 - 1 finger, HMG box "
C27C12.2	ZF - C2H2 - 3 fingers
C55C2.1	ZF - C2H2 - 2 fingers
F09B12.2	ZF - DHHC 
F19B10.9	T-box
F25H8.6	ZF - BED
F38B7.1	ZF - CCCH - 2 domains
F47H4.1	ZF - C2H2 - 2 fingers
F52E4.8	ZF - C2H2 - 2 fingers
F52F12.6	ZF - C2HC - 2 fingers 
F54H5.4	ZF - C2H2 - 3 fingers
F57B10.1	bZIP
K01G5.1	ZF - CCCH
K08B12.2	ZF - DM
M163.2	ZF - C2H2 - 1 finger
T01D3.2	bHLH
T09A5.12	ZF - C2H2 - 2 fingers
T09F3.1	ZF - C2H2 - 1 finger
T24C4.7	ZF - C2H2 - 1 finger
T27C4.4	"ZF - GATA, MYB"
W05B10.2	ZF - CCCH
W05H7.4	ZF - CCCH
Y116A8C.17	ZF - CCCH - 2 domains
Y39B6A.12	ZF - BED
Y39B6A.46	ZF - C2H2 - 3 fingers
Y47H9C.2	ZF - DHHC 
Y48A6C.3	ZF - C2H2 - 1 finger
Y48C3A.4	ZF - C2H2 - 1 finger
Y51H1A.6	ZF - C2H2 - 1 finger
Y53H1A.5	CBF
Y54E10BR.8	ZF - C2H2 - 6 fingers
Y57G11C.25	ZF - CCCH - 2 domains
Y59E9AR.5	T-box
Y66D12A.12	ZF - C2H2 - 2 fingers
Y6G8.3	ZF - C2H2 - 2 fingers
Y80D3A.3	HD - HOX
Y87G2A.3	ZF - C2H2 - 1 finger
C01B7.1	ZF - C2H2 - 6 fingers
C12D12.5	HMG box
T27B1.2	ZF - C2H2 - 3 fingers
Y46E12A.4	T-box
2L52.1	ZF - C2H2 - 1 finger
AC3.10	ZF - DHHC 
AH6.5	ZF - CCCH - 2 domains
B0019.2	AT Hook
B0035.1	ZF - C2H2 - 2 fingers
B0250.4	ZF - C2H2 - 6 fingers
B0261.1	MYB
B0280.4	ZF - C2H2 - 3 fingers
B0286.5	WH - Fork Head
B0304.1	bHLH
B0310.2	ZF - C2H2 - 2 fingers
B0336.3	ZF - CCCH
B0336.7	ZF - THAP
B0412.1	WH - DAC
B0414.2	RNT
B0564.10	HD - PRD
C01B12.2	SAND
C01F6.9	ZF - C2H2 - 1 finger
C01G12.1	MADF
C01H6.5	ZF - NHR
C02B4.2	ZF - NHR
C02B8.4	bHLH
C02F12.10	HD
C02F5.12	ZF - C2H2 - 1 finger
C03G6.10	ZF - NHR
C03G6.12	ZF - NHR
C03G6.8	ZF - NHR
C04F1.3	HD - LIM
C04G2.7	Paired Domain - FULL
C05D10.1	AT Hook
C05G6.1	ZF - NHR
C06A5.4	MADF
C06B8.1	ZF - NHR
C06C6.4	ZF - NHR
C06C6.5	ZF - NHR
C06E1.8	ZF - C2H2 - 2 fingers
C06G3.1	ZF - NHR
C07A12.1	ZF - C2H2 - 2 fingers
C07A12.3	ZF - NHR
C07A12.5	ZF - C2H2 - 7 fingers
C07E3.5	HD
C07E3.6	HD - HOX
C07G2.2	bZIP
